SettlementPoint,Year,Month,AveragePrice
HB_HUBAVG,2019,2,21.25063988095238
HB_NORTH,2019,2,20.864955357142858
HB_SOUTH,2019,2,22.12563988095238
HB_WEST,2019,2,20.491160714285712
LZ_AEN,2019,2,21.513809523809524
LZ_CPS,2019,2,24.110119047619047
LZ_HOUSTON,2019,2,21.644255952380952
LZ_LCRA,2019,2,21.666979166666668
LZ_NORTH,2019,2,20.851145833333334
LZ_RAYBN,2019,2,21.066279761904763
LZ_SOUTH,2019,2,23.728958333333335
LZ_WEST,2019,2,22.798958333333335
HB_BUSAVG,2019,3,27.565720053835804
HB_HOUSTON,2019,3,27.832032301480485
HB_HUBAVG,2019,3,27.189030955585466
HB_NORTH,2019,3,28.10371467025572
HB_SOUTH,2019,3,27.135558546433376
HB_WEST,2019,3,25.669676985195153
LZ_AEN,2019,3,27.742180349932703
LZ_CPS,2019,3,29.351695827725433
LZ_HOUSTON,2019,3,28.080323014804847
LZ_LCRA,2019,3,27.649313593539706
LZ_NORTH,2019,3,28.59403768506057
LZ_RAYBN,2019,3,29.809798115746972
LZ_SOUTH,2019,3,30.529488559892332
LZ_WEST,2019,3,31.28296096904442
HB_BUSAVG,2019,4,22.613180555555555
HB_HOUSTON,2019,4,23.870652777777778
HB_HUBAVG,2019,4,22.221166666666665
HB_NORTH,2019,4,22.997402777777776
HB_PAN,2019,4,16.548766666666666
HB_SOUTH,2019,4,22.463333333333335
HB_WEST,2019,4,19.551875
LZ_AEN,2019,4,23.27034722222222
LZ_CPS,2019,4,25.36359722222222
LZ_HOUSTON,2019,4,24.264583333333334
LZ_LCRA,2019,4,23.31476388888889
LZ_NORTH,2019,4,23.718430555555553
LZ_RAYBN,2019,4,24.998305555555557
LZ_SOUTH,2019,4,27.147833333333335
LZ_WEST,2019,4,21.699236111111112
HB_BUSAVG,2019,5,23.959932795698926
HB_HOUSTON,2019,5,24.794274193548386
HB_HUBAVG,2019,5,23.883763440860214
HB_NORTH,2019,5,23.978884408602152
HB_PAN,2019,5,16.414327956989247
HB_SOUTH,2019,5,24.05994623655914
HB_WEST,2019,5,22.70266129032258
LZ_AEN,2019,5,24.676236559139785
